tmp.dat.subject.1.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38
34.csv,2,2,4,4,4,4,5,3,3,6,6,2,2,6,2,5,3,5,4,1,3,3,1,4,2,5,4,1,5,4,6,4,4,6,5,4,4,6
340.csv,5,5,7,6,6,6,6,5,3,7,7,7,7,6,7,7,4,5,7,7,7,6,1,7,3,6,7,7,7,1,6,5,6,7,6,6,6,7
341M.csv,7,5,7,7,6,4,7,6,4,7,6,6,7,6,7,6,3,7,7,7,7,3,7,6,4,5,7,5,5,3,3,3,5,7,7,6,7,7
342.csv,5,1,5,1,4,3,5,7,3,6,6,5,6,6,6,5,6,5,6,5,7,2.5,7,7,2,4,6,5,4,5,4,2,5,6,5,6,5,6
343CM.csv,7,5,5,7,6,4,5,7,6,7,5,6,6,5,6,6,6,6,7,7,6,6,7,7,4,6,5,7,7,5,5,4,6,6,6,6,7,7
344.csv,6,5,7,6,3,7,6,4,6,6,7,7,7,7,7,7,6,6,7,7,7,5,1,7,3,3,7,6,6,6,5,5,6,7,7,6,7,6
345.csv,7,3,6,7,5,7,5,7,6,7,7,7,7,4,7,7,7,6,7,7,7,5,6,6,6,4,7,7,6,5,6,4,7,7,7,7,6,6
346M.csv,5,2,6,3,2,3,2,4,1,6,6,7,4,5,7,7,6,5,6,5,7,3,3,6,3,5,7,7,7,7,6,4,5,5,6,5,5,7
347.csv,6,2,6,5,7,7,5,6,2,6,6,6,7,7,7,6,6,4,6,7,6,6,3,6,2,3,5,1,2,2,4,3,7,7,7,5,6,6
348.csv,7,4,6,6,6,7,2,7,3,6,7,6,6,5,7,7,6,5,7,7,6,6,3,6,5,3,4,6,2,2,2,1,6,7,4,6,5,7
349.csv,6,6,5,6,4,7,6,7,5,6,6,6,6,6,7,7,7,6,6,7,6,5,6,7,4,5,7,7,7,7,7,6,6,7,7,6,6,7
35.csv,5,2,4,4,2,4,5,5,3,4,6,3,5,6,4,5,2,6,2,2,2,3,1,3,2,5,5,2,4,2,4,2,4,2,6,5,5,6
350.csv,5,1,6,5,5,5,5,7,4,6,3,5,6,4,5,2,3,6,7,6,5,6,6,5,2,5,7,6,5,7,6,1,7,7,7,2,7,7
351.csv,5,7,7,7,6,7,6,7,4,7,6,6,7,7,7,6,5,7,6,7,7,7,7,7,6,6,6,6,5,5,6,4,6,3,5,7,5,5
352.csv,6,4,7,5,3,7,6,3,6,6,6,4,4,5,5,5,5,6,6,5,6,5,1,6,2,5,7,5,5,1,5,3,7,6,7,5,6,7
353.csv,7,5,7,7,6,7,7,1,7,7,7,7,7,2,7,7,7,6,7,7,6,3,1,6,3,4,7,6,1,5,6,5,7,7,7,7,7,7
354C.csv,7,7,7,7,6,7,6,7,2,7,7,6,7,6,6,7,7,7,7,7,7,5,6,7,4,6,7,7,7,7,6,3,7,6,7,6,7,7
355M.csv,7,7,7,7,7,7,6,6,4,7,7,5,5,5,7,6,7,5,7,7,5,6,5,6,5,7,7,7,7,6,6,5,7,6,7,5,6,7
356.csv,7,5,7,6,6,7,6,7,5,6,7,6,6,7,7,7,6,6,7,7,5,6,5,5,7,6,7,6,4,5,6,5,7,7,7,6,7,7
357.csv,6,2,6,6,5,5,4,5,3,5,6,6,6,6,6,6,4,6,6,6,6,5,6,6,2,5,7,4,5,2,6,6,6,6,6,6,6,6
358C.csv,7,7,6,7,5,7,6,6,6,6,7,6,7,7,6,6,2,7,7,6,7,7,7,7,2,4,7,5,4,2,5,5,6,7,6,7,7,7
359.csv,4,2,5,3,2,5,6,4,3,5,6,5,4,6,2,5,2,4,4,2,4,5,3,5,2,5,3,2,3,2,5,5,2,5,6,3,5,6
360.csv,4,5,6,6,2,4,6,3,5,5,6,3,5,6,5,5,4,5,2,4,3,6,1,3,3,2,2,5,6,1,5,4,6,6,6,5,6,6
361.csv,7,6,7,7,7,7,7,7,5,7,6,7,7,7,7,7,7,7,1,7,7,3,6,7,2,7,7,7,7,7,7,7,7,1,7,7,7,7
362.csv,5,2,6,5,6,7,7,5,6,5,7,6,4,6,7,6,4,5,7,3,5,3,1,5,2,5,6,4,5,3,5,4,6,7,7,4,5,7
363.csv,6,1,5,2,1,7,2,2,1,7,6,3,5,6,6,6,7,6,7,2,6,5,1,6,2,6,7,7,6,5,2,1,5,6,6,5,7,6
364.csv,5,3,6,4,3,6,4,4,6,7,5,6,6,6,6,7,7,4,7,6,7,5,4,6,3,5,7,6,1,7,6,5,5,6,6,5,6,7
365.csv,3,1,5,2,1,5,5,2,1,6,6,6,5,6,5,6,5,6,6,3,6,3,1,6,2,3,4,2,4,4,2,2,6,6,5,3,6,6
366.csv,5,3,5,4,2,5,5,3,3,5,6,5,6,5,6,6,5,6,5,4,5,3,1,5,3,5,6,4,5,3,4,3,5,6,6,5,7,5
367.csv,7,5,7,7,7,6,6,7,7,7,7,6,7,6,7,7,5,6,7,7,7,7,6,6,3,4,7,6,6,2,6,3,7,7,7,6,7,7
36M.csv,7,3,7,6,5,7,7,5,7,6,7,6,6,7,7,4,2,6,2,1,1,1,1,1,1,6,5,2,5,3,7,6,6,7,7,5,7,7
37.csv,5,2,4,7,2,4,6,4,3,4,7,6,6,5,6,5,6,6,2,2,1,3,1,1,2,3,3,6,3,3,2,1,2,5,7,4,3,7
38M.csv,7,3,6,4,3,7,5,4,3,7,7,6,6,7,7,6,7,6,7,6,3,0.5,1,3,2,7,6,6,6,6,7,4,3,7,6,6,7,7
39.csv,6,2,3,5,5,7,5,3,4,5,7,3,5,4,5,5,6,4,6,4,1,1,1,1,1,3,6,5,6,4,6,3,5,6,7,5,5,5
41.csv,7,5,6,7,6,6,7,6,5,7,6,6,6,5,6,6,5,7,6,7,7,6,1,7,5,7,6,6,6,6,4,1,6,7,7,5,6,6
42M.csv,7,4,7,7,6,7,7,6,6,5,7,6,7,3,7,7,3,7,5,4,6,3,1,1,2,6,7,5,7,7,6,4,7,7,7,7,7,7
43.csv,6,1,5,4,4,5,5,3,4,5,6,7,2,5,7,3,3,2,5,1,1,1,1,3,1,5,5,1,6,3,6,2,6,3,7,2,2,6
44M.csv,6,7,5,7,5,7,7,3,3,7,6,6,5,6,6,7,7,5,7,7,7,6,6,7,2,6,7,7,6,7,7,5,5,5,4,4,7,7
45.csv,5,4,6,6,2,6,6,3,4,6,5,5,4,6,6,6,5,6,6,2,7,6,3,5,3,5,6,6,3,1,6,2,6,6,6,4,4,7
46M.csv,5,4,5,4,1,3,6,5,4,6,7,2,6,6,6,6,5,3,6,5,5,5,6,5,1,7,7,5,6,2,6,5,7,7,6,5,7,7
47.csv,5,2,6,5,1,5,5,5,3,7,3,3,6,5,4,4,3,5,6,6,3,3,1,1,3,4,6,4,3,6,5,2,6,6,6,3,6,6
48C.csv,5,4,6,5,4,7,6,4,7,5,6,4,5,6,6,5,4,6,4,3,1,1,6,1,1,4,6,3,5,2,6,5,6,5,6,5,5,7
49.csv,7,4,7,7,2,7,4,7,6,6,6,5,3,5,6,6,6,5,6,7,7,6,7,7,3,5,6,5,5,3,6,5,7,7,6,6,6,7
50M.csv,5,1,7,6,6,6,6,5,6,6,6,6,6,7,6,6,6,6,2,1,4,3,1,5,2,1,6,1,6,6,2,3,5,7,7,5,7,6
51.csv,3,1,5,6,2,5,6,1,2,5,7,3,5,3,3,5,3,5,5,1,2,7,1,1,1,2,5,3,3,3,3,2,5,5,7,5,5,7
52.csv,5,6,5,3,5,5,5,4,3,7,7,2,6,6,6,6,5,5,2,2,1,1,1,1,1,2,2,2,4,5,5,4,6,6,6,5,5,6
53M.csv,4,3,4,5,3,5,6,3,1,6,6,3,3,4,5,4,3,3,2,1,2,3,1,1,2,6,5,3,4,4,6,4,4,5,6,3,4,5
54.csv,5,5,6,6,5,6,5,3,3,5,4,3,6,5,2,5,3,5,2,2,2,3,1,1,2,3,5,3,3,4,4,2,5,6,6,4,5,5
55.csv,5,6,7,5,5,6,7,6,4,5,6,6,5,4,2,4,5,6,4,3,1,1,4,4,1,3,4,4,5,5,5,3,7,7,6,4,6,6
56C.csv,7,7,5,7,1,7,7,5,5,7,7,5,7,7,7,7,4,4,7,1,6,6,7,6,6,5,7,4,2,4,5,2,7,6,7,7,6,7
58M.csv,1,6,7,7,1,7,7,3,1,4,5,4,5,4,6,5,7,3,6,1,1,1,1,1,1,1,4,2,4,6,4,4,1,6,7,7,5,5
59.csv,6,4,5,7,4,7,6,5,6,2,6,6,4,5,5,5,3,6,4,3,2,5,1,1,2,2,6,5,4,4,5,4,5,6,7,5,6,7
60.csv,1,1,1,1,1,5,7,3,4,7,7,7,1,7,7,7,7,7,7,1,1,1,1,1,1,1,4,7,7,1,7,1,1,7,7,7,7,7
61.csv,4,3,4,4,3,5,5,2,5,3,6,2,2,4,2,3,3,5,2,1,2,5,1,3,2,3,3,3,3,3,4,3,5,6,6,3,5,5
62C.csv,5,3,6,5,6,6,7,1,3,5,6,3,5,6,7,5,3,6,5,2,2,3,3,3,2,6,3,5,4,1,6,5,6,7,7,5,7,6
63.csv,7,5,6,6,2,7,6,3,3,7,7,5,6,6,7,7,7,6,5,5,7,5,1,6,6,5,6,6,6,2,3,2,6,6,7,5,6,7
64.csv,5,4,5,5,2,5,6,4,3,5,6,3,4,5,5,3,3,5,2,1,1,1,1,1,1,3,3,3,3,3,5,3,5,6,6,4,6,7
65M.csv,6,2,6,6,6,7,7,3,6,4,7,7,7,7,6,4,4,6,6,6,6,3,1,6,5,7,7,4,6,5,7,5,5,7,7,5,7,7
66.csv,3,1,2,2,1,1,3,3,2,6,6,1,2,6,2,2,1,5,1,1,1,1,1,1,1,2,5,1,2,1,5,2,5,2,7,5,2,7
67M.csv,7,1,5,4,2,1,6,4,6,5,7,2,6,7,7,5,7,4,3,1,5,3,6,5,2,4,7,5,5,2,4,1,7,4,4,7,7,4
68.csv,2,2,1,5,2,3,5,4,3,6,6,7,5,6,7,7,3,6,3,1,5,3,6,5,2,3,2,5,6,6,6,4,1,4,6,6,2,5
69.csv,5,2,5,5,4,6,6,5,4,5,7,5,5,6,6,5,4,5,2,2,3,3,1,1,2,5,2,4,3,2,5,2,3,7,7,4,6,5
70.csv,5,3,6,5,1,4,4,2,4,6,6,6,5,6,4,6,4,6,5,4,5,5,1,5,2,4,6,2,2,2,6,6,4,6,6,4,6,6
71.csv,3,2,6,2,2,6,4,1,4,5,6,4,2,4,6,5,5,4,6,1,4,7,5,5,2,5,4,2,3,2,3,2,4,6,6,3,2,7
72.csv,7,1,5,4,3,2,5,3,3,6,6,6,5,7,7,7,6,4,7,7,4,5,3,5,2,4,7,4,4,4,4,4,6,6,7,5,4,7
73.csv,7,4,6,4,4,7,4,7,1,7,6,7,7,6,7,7,7,5,7,7,3,3,4,4,4,4,7,7,7,7,5,5,6,7,6,6,6,7
74.csv,2,1,4,5,1,1,6,5,3,5,5,3,5,6,5,5,3,5,2,1,1,1,1,1,1,2,5,2,5,2,5,5,6,5,7,3,5,7
75.csv,7,3,6,6,7,7,7,6,6,6,7,6,7,7,7,7,7,6,7,7,6,6,7,5,6,5,7,3,7,1,7,6,7,7,7,7,6,7
76.csv,7,2,6,5,5,7,5,5,3,7,7,5,7,7,7,7,7,6,7,7,4,3,4,7,3,7,7,7,6,7,7,6,5,7,7,7,7,7
77C.csv,7,6,7,7,7,7,7,7,7,7,7,6,6,6,7,7,6,6,7,7,6,7,6,5,7,7,7,5,6,6,5,5,7,7,7,7,7,7
78M.csv,6,6,6,7,5,7,7,3,4,7,6,4,5,4,5,5,5,5,5,5,5,6,6,5,3,5,6,6,5,5,6,4,5,6,7,4,5,5
79M.csv,6,4,6,6,2,7,6,3,7,7,6,7,6,6,7,7,7,6,7,4,7,6,1,1,2,6,7,6,7,4,7,6,7,4,7,6,7,7
80C.csv,3,1,4,4,1,4,5,4,1,6,3,3,1,4,7,5,5,5,2,1,1,1,1,1,2,2,6,1,3,1,6,1,5,6,7,4,6,7
81.csv,5,4,7,5,5,5,6,3,4,7,7,6,5,4,6,4,7,7,7,4,4,5,1,3,3,4,7,7,6,7,6,4,5,7,5,6,6,7
82CM.csv,7,3,7,7,6,7,6,5,7,7,7,6,7,7,7,7,7,7,7,7,7,7,4,7,6,5,7,7,5,6,6,4,7,7,5,7,7,7
83.csv,3,3,6,5,2,5,6,5,3,6,6,5,5,5,6,6,5,6,2,2,1,1,1,1,1,3,5,3,4,2,3,2,5,6,6,6,6,6
84.csv,5,5,6,5,3,6,6,3,7,6,7,5,5,6,6,6,6,6,7,7,5,6,3,5,2,5,5,5,6,7,6,2,4,5,6,5,6,7
85.csv,5,4,6,5,2,6,5,4,3,6,6,7,6,6,6,6,1,5,6,6,6,7,1,6,2,3,4,1,3,6,6,2,5,6,6,4,5,7
86.csv,2,2,5,4,4,6,5,5,4,5,4,4,4,6,3,5,5,4,6,1,4,3,5,5,1,4,4,4,5,6,6,2,5,6,6,4,6,7
87M.csv,5,5,5,5,5,5,6,6,4,5,6,6,5,6,6,5,5,2,5,2,3,5,1,3,2,5,5,2,3,5,5,2,7,7,7,6,6,6
88.csv,2,1,5,5,3,5,6,3,3,6,6,3,2,6,5,5,5,6,2,1,1,1,1,1,1,5,5,2,3,1,6,3,6,6,6,4,5,7
89.csv,2,2,4,6,1,6,5,3,3,6,5,5,5,5,5,3,3,3,5,2,3,3,1,4,1,6,3,3,3,6,6,3,5,6,6,3,6,7
90.csv,5,3,6,7,7,7,6,7,7,5,6,3,3,3,6,5,3,6,3,1,3,3,1,4,1,5,3,3,3,6,4,4,6,7,7,5,5,7
91.csv,6,3,5,6,5,5,7,5,3,5,4,4,4,6,6,5,4,6,6,2,2,5,3,3,2,3,4,4,4,1,4,3,4,6,6,5,6,5
92.csv,6,3,7,2,2,6,5,5,6,7,6,7,6,6,7,7,7,6,7,7,7,6,7,7,5,7,7,7,7,6,6,6,6,7,6,6,6,6
93.csv,5,2,6,5,6,5,4,5,3,6,6,6,6,6,7,6,7,6,6,5,5,5,5,5,3,5,7,6,5,3,5,5,5,7,6,5,6,6
94.csv,6,2,6,5,2,6,6,3,3,7,7,6,6,6,6,6,2,6,5,2,6,5,1,6,2,4,6,5,5,3,2,2,6,7,7,6,6,6
95.csv,3,2,6,5,3,2,3,3,4,2,6,6,5,6,6,6,3,6,2,2,1,1,1,1,1,6,6,3,6,6,2,2,2,6,6,5,5,5
96.csv,5,1,3,5,5,5,6,5,3,5,6,4,2,5,5,5,1,6,1,1,1,1,1,1,1,2,6,1,1,6,6,5,2,6,7,2,5,6
97.csv,5,2,4,4,2,3,5,4,2,5,6,4,3,5,5,3,6,5,6,7,3,5,1,5,2,2,5,2,2,4,5,3,5,6,5,5,4,5
98.csv,6,2,7,7,6,7,5,3,4,4,7,6,6,6,6,6,7,7,6,3,7,5,4,4,2,6,6,5,7,7,7,3,6,7,7,5,6,7
99.csv,5,4,5,5,6,7,7,4,7,2,4,5,2,5,5,4,1,5,1,1,2,3,1,1,1,6,5,2,2,3,7,6,6,7,7,2,6,7
