tmp.dat.subject.1.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38
13.csv,5,2,3,7,2,5,5,1,3,4,6,2,4,6,6,5,3,6,3,4,6,3,1,6,3,5,5,2,2,2,2,1,6,6,7,5,5,5
130.csv,5,3,5,5,2,5,5,5,7,7,7,7,7,6,7,7,6,6,6,1,7,5,1,7,4,7,6,5,6,6,7,6,4,6,6,5,6,6
131.csv,4,2,6,6,5,4,5,4,2,7,6,3,5,5,5,5,5,5,7,4,5,6,1,3,1,6,5,5,6,2,5,3,4,7,5,4,5,6
132.csv,3,3,5,3,3,5,6,1,1,6,5,5,5,5,5,5,3,5,3,2,1,1,1,1,1,5,5,2,5,3,5,5,3,5,5,5,5,6
133.csv,7,5,7,7,6,7,6,6,7,7,7,6,6,7,7,7,6,6,7,7,6,7,6,6,4,5,7,6,3,4,5,4,7,7,7,6,6,6
134.csv,4,1,3,7,1,4,7,4,1,6,7,6,7,6,7,7,6,7,1,7,2,3,1,3,1,5,7,5,4,4,5,2,1,6,7,6,7,7
136C.csv,7,7,7,7,6,7,6,2,6,3,7,7,7,3,7,5,2,5,5,2,5,5,1,5,2,6,6,5,5,1,6,2,7,7,7,6,5,7
137.csv,5,2,6,6,2,6,5,6,4,6,7,4,5,6,6,6,6,5,3,3,1,1,1,1,1,4,4,3,4,6,5,4,6,5,6,6,7,6
138C.csv,5,1,5,5,3,4,6,4,3,6,6,5,6,6,6,6,5,5,6,2,1,1,1,3,1,3,6,5,5,5,6,5,5,5,6,6,6,7
139.csv,5,3,6,6,3,6,4,4,2,7,7,7,6,6,7,7,7,5,7,7,7,5,6,7,7,6,7,7,7,6,7,6,6,7,7,6,6,7
14.csv,6,1,6,6,5,6,6,6,6,7,7,6,6,6,6,7,6,6,1,1,1,1,1,1,1,3,1,5,1,2,6,6,7,7,6,6,7,2
140.csv,3,4,5,4,5,5,5,2,3,6,7,2,5,7,6,6,6,5,7,3,6,3,7,6,4,5,6,6,5,4,5,3,4,7,6,4,5,6
